Issue Type,Summary,Description,Epic Link,Sprint,Assignee,Story Points,Labels
Epic,E1 Captura y reconstruccion del tramo,"Capturar 200 metros del sector Claro de Luna del sendero de la Quebrada La Vieja y reconstruirlos en 3 escenas Gaussian Splat publicadas en formato SOG. Incluye la decision de sendero (ADR-001), las cuatro visitas de campo, el procesamiento en GPU, la limpieza en SuperSplat y la compresion a SOG. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,,Juan Urrego,,E1;captura;resp-juan-urrego
Epic,E2 Motor de recorrido web,"Cargar las escenas SOG en PlayCanvas y construir el motor de recorrido: navegacion guiada sobre el trazado, mirada libre 360 grados, encadenado de escenas, nivel de detalle por proximidad al recorrido y rendimiento en celular de gama media. RESPONSABLE: Alejandra Chambueta.",E2 Motor de recorrido web,,Alejandra Chambueta,,E2;resp-alejandra-chambueta
Epic,E3 Puntos de interes fichas 3D y sonido,"Modelar el catalogo 3D de aves con animacion idle, plantas y elementos patrimoniales del sendero, y construir el sistema de puntos de interes: marcadores anclados, panel de ficha, visor 3D girable, audio con transcripcion y ambientacion sonora binaural espacial. RESPONSABLE: Felipe Acevedo y David Beltran.",E3 Puntos de interes fichas 3D y sonido,,Felipe Acevedo,,E3;3d-asset;resp-felipe-acevedo
Epic,E4 Capa de datos y experiencia de usuario,"Consumir el track GPS del sendero para alimentar el HUD de altitud, distancia, desnivel, pendiente y tiempo estimado, y cerrar la experiencia de usuario: identidad visual con paleta de grises negros y verdes, onboarding, responsive movil y accesibilidad. RESPONSABLE: Eybar Viasus y Alberto Aleman.",E4 Capa de datos y experiencia de usuario,,Eybar Viasus,,E4;ui-ux;resp-eybar-viasus
Story,HU-01 Cerrar la decision de sendero,"Como equipo necesitamos evaluar las tres opciones de sendero con criterios objetivos para poder capturar sabiendo por que ahi. HITO BLOQUEANTE: debe cerrarse antes del viernes de la semana 1. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) las tres opciones evaluadas contra los mismos criterios; (2) criterios incluyen densidad de elementos duros, accesibilidad en transporte publico, condiciones de captura, valor de contenido biologico y facilidad de reserva; (3) decision escrita en ADR-001 con alternativas descartadas y consecuencias.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,8,S1;E1;captura;docs;blocked;resp-juan-urrego
Sub-task,HU-01.1 Redactar y ponderar la matriz de criterios,"Subtarea de HU-01. Redactar la matriz de criterios de decision y ponderarla con el equipo. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,2,S1;E1;captura;resp-juan-urrego
Sub-task,HU-01.2 Redactar ADR-001,"Subtarea de HU-01. Redactar docs/decisiones/ADR-001-eleccion-de-sendero.md con opciones, criterios, decision y consecuencias. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,2,S1;E1;docs;resp-juan-urrego
Sub-task,HU-01.3 Evaluar opciones por valor de contenido,"Subtarea de HU-01. Evaluar cada opcion por aves, plantas y elementos modelables disponibles. RESPONSABLE: Felipe Acevedo.",E1 Captura y reconstruccion del tramo,S1,Felipe Acevedo,2,S1;E1;3d-asset;resp-felipe-acevedo
Sub-task,HU-01.4 Evaluar opciones por riesgo de reconstruccion,"Subtarea de HU-01. Evaluar cada opcion por proporcion de elementos duros frente a follaje denso. RESPONSABLE: Alejandra Chambueta.",E1 Captura y reconstruccion del tramo,S1,Alejandra Chambueta,2,S1;E1;captura;resp-alejandra-chambueta
Story,HU-02 Definir y validar el protocolo de captura,"Como equipo de captura necesitamos un protocolo probado para no gastar la unica manana buena aprendiendo a usar el equipo. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) protocolo escrito con resolucion, fps, obturacion, ISO, foco, balance de blancos, numero y altura de pasadas; (2) resuelta la pregunta abierta V1 sobre 1x frente a 2x con una prueba real; (3) probado en un ensayo corto fuera del sendero objetivo; (4) definido el objeto de tamano conocido que da escala; (5) definida la banda de alta densidad del ADR-002: del suelo hasta un metro por encima de la altura de los ojos y un metro a cada lado del eje del trazado.",E1 Captura y reconstruccion del tramo,S1,Juan Urrego,5,S1;E1;captura;resp-juan-urrego
